startTime :2015-01-12 19:30:45 || endTime :2015-01-12 20:30:45 || tweets/hour :0
startTime :2015-01-12 20:30:45 || endTime :2015-01-12 21:30:45 || tweets/hour :0
startTime :2015-01-12 21:30:45 || endTime :2015-01-12 22:30:45 || tweets/hour :0
startTime :2015-01-12 22:30:45 || endTime :2015-01-12 23:30:45 || tweets/hour :1
startTime :2015-01-12 23:30:45 || endTime :2015-01-13 00:30:45 || tweets/hour :0
startTime :2015-01-13 00:30:45 || endTime :2015-01-13 01:30:45 || tweets/hour :1
startTime :2015-01-13 01:30:45 || endTime :2015-01-13 02:30:45 || tweets/hour :0
startTime :2015-01-13 02:30:45 || endTime :2015-01-13 03:30:45 || tweets/hour :0
startTime :2015-01-13 03:30:45 || endTime :2015-01-13 04:30:45 || tweets/hour :0
startTime :2015-01-13 04:30:45 || endTime :2015-01-13 05:30:45 || tweets/hour :0
startTime :2015-01-13 05:30:45 || endTime :2015-01-13 06:30:45 || tweets/hour :0
startTime :2015-01-13 06:30:45 || endTime :2015-01-13 07:30:45 || tweets/hour :0
startTime :2015-01-13 07:30:45 || endTime :2015-01-13 08:30:45 || tweets/hour :0
startTime :2015-01-13 08:30:45 || endTime :2015-01-13 09:30:45 || tweets/hour :0
startTime :2015-01-13 09:30:45 || endTime :2015-01-13 10:30:45 || tweets/hour :0
startTime :2015-01-13 10:30:45 || endTime :2015-01-13 11:30:45 || tweets/hour :0
startTime :2015-01-13 11:30:45 || endTime :2015-01-13 12:30:45 || tweets/hour :0
startTime :2015-01-13 12:30:45 || endTime :2015-01-13 13:30:45 || tweets/hour :0
startTime :2015-01-13 13:30:45 || endTime :2015-01-13 14:30:45 || tweets/hour :0
startTime :2015-01-13 14:30:45 || endTime :2015-01-13 15:30:45 || tweets/hour :0
startTime :2015-01-13 15:30:45 || endTime :2015-01-13 16:30:45 || tweets/hour :0
startTime :2015-01-13 16:30:45 || endTime :2015-01-13 17:30:45 || tweets/hour :0
startTime :2015-01-13 17:30:45 || endTime :2015-01-13 18:30:45 || tweets/hour :0
startTime :2015-01-13 18:30:45 || endTime :2015-01-13 19:30:45 || tweets/hour :0
startTime :2015-01-13 19:30:45 || endTime :2015-01-13 20:30:45 || tweets/hour :0
startTime :2015-01-13 20:30:45 || endTime :2015-01-13 21:30:45 || tweets/hour :0
startTime :2015-01-13 21:30:45 || endTime :2015-01-13 22:30:45 || tweets/hour :0
startTime :2015-01-13 22:30:45 || endTime :2015-01-13 23:30:45 || tweets/hour :0
startTime :2015-01-13 23:30:45 || endTime :2015-01-14 00:30:45 || tweets/hour :0
startTime :2015-01-14 00:30:45 || endTime :2015-01-14 01:30:45 || tweets/hour :1
startTime :2015-01-14 01:30:45 || endTime :2015-01-14 02:30:45 || tweets/hour :1
startTime :2015-01-14 02:30:45 || endTime :2015-01-14 03:30:45 || tweets/hour :0
startTime :2015-01-14 03:30:45 || endTime :2015-01-14 04:30:45 || tweets/hour :0
startTime :2015-01-14 04:30:45 || endTime :2015-01-14 05:30:45 || tweets/hour :0
startTime :2015-01-14 05:30:45 || endTime :2015-01-14 06:30:45 || tweets/hour :0
startTime :2015-01-14 06:30:45 || endTime :2015-01-14 07:30:45 || tweets/hour :0
startTime :2015-01-14 07:30:45 || endTime :2015-01-14 08:30:45 || tweets/hour :0
startTime :2015-01-14 08:30:45 || endTime :2015-01-14 09:30:45 || tweets/hour :0
startTime :2015-01-14 09:30:45 || endTime :2015-01-14 10:30:45 || tweets/hour :1
startTime :2015-01-14 10:30:45 || endTime :2015-01-14 11:30:45 || tweets/hour :1
startTime :2015-01-14 11:30:45 || endTime :2015-01-14 12:30:45 || tweets/hour :0
startTime :2015-01-14 12:30:45 || endTime :2015-01-14 13:30:45 || tweets/hour :3
startTime :2015-01-14 13:30:45 || endTime :2015-01-14 14:30:45 || tweets/hour :2
startTime :2015-01-14 14:30:45 || endTime :2015-01-14 15:30:45 || tweets/hour :1
startTime :2015-01-14 15:30:45 || endTime :2015-01-14 16:30:45 || tweets/hour :1
startTime :2015-01-14 16:30:45 || endTime :2015-01-14 17:30:45 || tweets/hour :0
startTime :2015-01-14 17:30:45 || endTime :2015-01-14 18:30:45 || tweets/hour :3
startTime :2015-01-14 18:30:45 || endTime :2015-01-14 19:30:45 || tweets/hour :2
startTime :2015-01-14 19:30:45 || endTime :2015-01-14 20:30:45 || tweets/hour :4
startTime :2015-01-14 20:30:45 || endTime :2015-01-14 21:30:45 || tweets/hour :2
startTime :2015-01-14 21:30:45 || endTime :2015-01-14 22:30:45 || tweets/hour :0
startTime :2015-01-14 22:30:45 || endTime :2015-01-14 23:30:45 || tweets/hour :0
startTime :2015-01-14 23:30:45 || endTime :2015-01-15 00:30:45 || tweets/hour :2
startTime :2015-01-15 00:30:45 || endTime :2015-01-15 01:30:45 || tweets/hour :0
startTime :2015-01-15 01:30:45 || endTime :2015-01-15 02:30:45 || tweets/hour :2
startTime :2015-01-15 02:30:45 || endTime :2015-01-15 03:30:45 || tweets/hour :1
startTime :2015-01-15 03:30:45 || endTime :2015-01-15 04:30:45 || tweets/hour :2
startTime :2015-01-15 04:30:45 || endTime :2015-01-15 05:30:45 || tweets/hour :1
startTime :2015-01-15 05:30:45 || endTime :2015-01-15 06:30:45 || tweets/hour :0
startTime :2015-01-15 06:30:45 || endTime :2015-01-15 07:30:45 || tweets/hour :0
startTime :2015-01-15 07:30:45 || endTime :2015-01-15 08:30:45 || tweets/hour :0
startTime :2015-01-15 08:30:45 || endTime :2015-01-15 09:30:45 || tweets/hour :1
startTime :2015-01-15 09:30:45 || endTime :2015-01-15 10:30:45 || tweets/hour :1
startTime :2015-01-15 10:30:45 || endTime :2015-01-15 11:30:45 || tweets/hour :2
startTime :2015-01-15 11:30:45 || endTime :2015-01-15 12:30:45 || tweets/hour :1
startTime :2015-01-15 12:30:45 || endTime :2015-01-15 13:30:45 || tweets/hour :3
startTime :2015-01-15 13:30:45 || endTime :2015-01-15 14:30:45 || tweets/hour :1
startTime :2015-01-15 14:30:45 || endTime :2015-01-15 15:30:45 || tweets/hour :1
startTime :2015-01-15 15:30:45 || endTime :2015-01-15 16:30:45 || tweets/hour :5
startTime :2015-01-15 16:30:45 || endTime :2015-01-15 17:30:45 || tweets/hour :1
startTime :2015-01-15 17:30:45 || endTime :2015-01-15 18:30:45 || tweets/hour :1
startTime :2015-01-15 18:30:45 || endTime :2015-01-15 19:30:45 || tweets/hour :3
startTime :2015-01-15 19:30:45 || endTime :2015-01-15 20:30:45 || tweets/hour :4
startTime :2015-01-15 20:30:45 || endTime :2015-01-15 21:30:45 || tweets/hour :1
startTime :2015-01-15 21:30:45 || endTime :2015-01-15 22:30:45 || tweets/hour :6
startTime :2015-01-15 22:30:45 || endTime :2015-01-15 23:30:45 || tweets/hour :1
startTime :2015-01-15 23:30:45 || endTime :2015-01-16 00:30:45 || tweets/hour :4
startTime :2015-01-16 00:30:45 || endTime :2015-01-16 01:30:45 || tweets/hour :4
startTime :2015-01-16 01:30:45 || endTime :2015-01-16 02:30:45 || tweets/hour :3
startTime :2015-01-16 02:30:45 || endTime :2015-01-16 03:30:45 || tweets/hour :5
startTime :2015-01-16 03:30:45 || endTime :2015-01-16 04:30:45 || tweets/hour :2
startTime :2015-01-16 04:30:45 || endTime :2015-01-16 05:30:45 || tweets/hour :3
startTime :2015-01-16 05:30:45 || endTime :2015-01-16 06:30:45 || tweets/hour :3
startTime :2015-01-16 06:30:45 || endTime :2015-01-16 07:30:45 || tweets/hour :0
startTime :2015-01-16 07:30:45 || endTime :2015-01-16 08:30:45 || tweets/hour :1
startTime :2015-01-16 08:30:45 || endTime :2015-01-16 09:30:45 || tweets/hour :1
startTime :2015-01-16 09:30:45 || endTime :2015-01-16 10:30:45 || tweets/hour :0
startTime :2015-01-16 10:30:45 || endTime :2015-01-16 11:30:45 || tweets/hour :0
startTime :2015-01-16 11:30:45 || endTime :2015-01-16 12:30:45 || tweets/hour :0
startTime :2015-01-16 12:30:45 || endTime :2015-01-16 13:30:45 || tweets/hour :0
startTime :2015-01-16 13:30:45 || endTime :2015-01-16 14:30:45 || tweets/hour :1
startTime :2015-01-16 14:30:45 || endTime :2015-01-16 15:30:45 || tweets/hour :0
startTime :2015-01-16 15:30:45 || endTime :2015-01-16 16:30:45 || tweets/hour :3
startTime :2015-01-16 16:30:45 || endTime :2015-01-16 17:30:45 || tweets/hour :4
startTime :2015-01-16 17:30:45 || endTime :2015-01-16 18:30:45 || tweets/hour :2
startTime :2015-01-16 18:30:45 || endTime :2015-01-16 19:30:45 || tweets/hour :3
startTime :2015-01-16 19:30:45 || endTime :2015-01-16 20:30:45 || tweets/hour :8
startTime :2015-01-16 20:30:45 || endTime :2015-01-16 21:30:45 || tweets/hour :7
startTime :2015-01-16 21:30:45 || endTime :2015-01-16 22:30:45 || tweets/hour :7
startTime :2015-01-16 22:30:45 || endTime :2015-01-16 23:30:45 || tweets/hour :4
startTime :2015-01-16 23:30:45 || endTime :2015-01-17 00:30:45 || tweets/hour :5
startTime :2015-01-17 00:30:45 || endTime :2015-01-17 01:30:45 || tweets/hour :6
startTime :2015-01-17 01:30:45 || endTime :2015-01-17 02:30:45 || tweets/hour :13
startTime :2015-01-17 02:30:45 || endTime :2015-01-17 03:30:45 || tweets/hour :7
startTime :2015-01-17 03:30:45 || endTime :2015-01-17 04:30:45 || tweets/hour :3
startTime :2015-01-17 04:30:45 || endTime :2015-01-17 05:30:45 || tweets/hour :2
startTime :2015-01-17 05:30:45 || endTime :2015-01-17 06:30:45 || tweets/hour :5
startTime :2015-01-17 06:30:45 || endTime :2015-01-17 07:30:45 || tweets/hour :1
startTime :2015-01-17 07:30:45 || endTime :2015-01-17 08:30:45 || tweets/hour :1
startTime :2015-01-17 08:30:45 || endTime :2015-01-17 09:30:45 || tweets/hour :0
startTime :2015-01-17 09:30:45 || endTime :2015-01-17 10:30:45 || tweets/hour :0
startTime :2015-01-17 10:30:45 || endTime :2015-01-17 11:30:45 || tweets/hour :1
startTime :2015-01-17 11:30:45 || endTime :2015-01-17 12:30:45 || tweets/hour :1
startTime :2015-01-17 12:30:45 || endTime :2015-01-17 13:30:45 || tweets/hour :0
startTime :2015-01-17 13:30:45 || endTime :2015-01-17 14:30:45 || tweets/hour :3
startTime :2015-01-17 14:30:45 || endTime :2015-01-17 15:30:45 || tweets/hour :3
startTime :2015-01-17 15:30:45 || endTime :2015-01-17 16:30:45 || tweets/hour :5
startTime :2015-01-17 16:30:45 || endTime :2015-01-17 17:30:45 || tweets/hour :9
startTime :2015-01-17 17:30:45 || endTime :2015-01-17 18:30:45 || tweets/hour :8
startTime :2015-01-17 18:30:45 || endTime :2015-01-17 19:30:45 || tweets/hour :9
startTime :2015-01-17 19:30:45 || endTime :2015-01-17 20:30:45 || tweets/hour :5
startTime :2015-01-17 20:30:45 || endTime :2015-01-17 21:30:45 || tweets/hour :9
startTime :2015-01-17 21:30:45 || endTime :2015-01-17 22:30:45 || tweets/hour :2
startTime :2015-01-17 22:30:45 || endTime :2015-01-17 23:30:45 || tweets/hour :13
startTime :2015-01-17 23:30:45 || endTime :2015-01-18 00:30:45 || tweets/hour :8
startTime :2015-01-18 00:30:45 || endTime :2015-01-18 01:30:45 || tweets/hour :10
startTime :2015-01-18 01:30:45 || endTime :2015-01-18 02:30:45 || tweets/hour :7
startTime :2015-01-18 02:30:45 || endTime :2015-01-18 03:30:45 || tweets/hour :10
startTime :2015-01-18 03:30:45 || endTime :2015-01-18 04:30:45 || tweets/hour :11
startTime :2015-01-18 04:30:45 || endTime :2015-01-18 05:30:45 || tweets/hour :18
startTime :2015-01-18 05:30:45 || endTime :2015-01-18 06:30:45 || tweets/hour :10
startTime :2015-01-18 06:30:45 || endTime :2015-01-18 07:30:45 || tweets/hour :7
startTime :2015-01-18 07:30:45 || endTime :2015-01-18 08:30:45 || tweets/hour :6
startTime :2015-01-18 08:30:45 || endTime :2015-01-18 09:30:45 || tweets/hour :4
startTime :2015-01-18 09:30:45 || endTime :2015-01-18 10:30:45 || tweets/hour :3
startTime :2015-01-18 10:30:45 || endTime :2015-01-18 11:30:45 || tweets/hour :2
startTime :2015-01-18 11:30:45 || endTime :2015-01-18 12:30:45 || tweets/hour :1
startTime :2015-01-18 12:30:45 || endTime :2015-01-18 13:30:45 || tweets/hour :14
startTime :2015-01-18 13:30:45 || endTime :2015-01-18 14:30:45 || tweets/hour :27
startTime :2015-01-18 14:30:45 || endTime :2015-01-18 15:30:45 || tweets/hour :51
startTime :2015-01-18 15:30:45 || endTime :2015-01-18 16:30:45 || tweets/hour :60
startTime :2015-01-18 16:30:45 || endTime :2015-01-18 17:30:45 || tweets/hour :67
startTime :2015-01-18 17:30:45 || endTime :2015-01-18 18:30:45 || tweets/hour :48
startTime :2015-01-18 18:30:45 || endTime :2015-01-18 19:30:45 || tweets/hour :60
startTime :2015-01-18 19:30:45 || endTime :2015-01-18 20:30:45 || tweets/hour :100
startTime :2015-01-18 20:30:45 || endTime :2015-01-18 21:30:45 || tweets/hour :104
startTime :2015-01-18 21:30:45 || endTime :2015-01-18 22:30:45 || tweets/hour :77
startTime :2015-01-18 22:30:45 || endTime :2015-01-18 23:30:45 || tweets/hour :138
startTime :2015-01-18 23:30:45 || endTime :2015-01-19 00:30:45 || tweets/hour :1268
startTime :2015-01-19 00:30:45 || endTime :2015-01-19 01:30:45 || tweets/hour :262
startTime :2015-01-19 01:30:45 || endTime :2015-01-19 02:30:45 || tweets/hour :762
startTime :2015-01-19 02:30:45 || endTime :2015-01-19 03:30:45 || tweets/hour :756
