startTime :2015-01-01 14:27:13 || endTime :2015-01-01 15:27:13 || tweets/hour :0
startTime :2015-01-01 15:27:13 || endTime :2015-01-01 16:27:13 || tweets/hour :0
startTime :2015-01-01 16:27:13 || endTime :2015-01-01 17:27:13 || tweets/hour :0
startTime :2015-01-01 17:27:13 || endTime :2015-01-01 18:27:13 || tweets/hour :0
startTime :2015-01-01 18:27:13 || endTime :2015-01-01 19:27:13 || tweets/hour :0
startTime :2015-01-01 19:27:13 || endTime :2015-01-01 20:27:13 || tweets/hour :0
startTime :2015-01-01 20:27:13 || endTime :2015-01-01 21:27:13 || tweets/hour :0
startTime :2015-01-01 21:27:13 || endTime :2015-01-01 22:27:13 || tweets/hour :0
startTime :2015-01-01 22:27:13 || endTime :2015-01-01 23:27:13 || tweets/hour :0
startTime :2015-01-01 23:27:13 || endTime :2015-01-02 00:27:13 || tweets/hour :0
startTime :2015-01-02 00:27:13 || endTime :2015-01-02 01:27:13 || tweets/hour :0
startTime :2015-01-02 01:27:13 || endTime :2015-01-02 02:27:13 || tweets/hour :0
startTime :2015-01-02 02:27:13 || endTime :2015-01-02 03:27:13 || tweets/hour :0
startTime :2015-01-02 03:27:13 || endTime :2015-01-02 04:27:13 || tweets/hour :0
startTime :2015-01-02 04:27:13 || endTime :2015-01-02 05:27:13 || tweets/hour :0
startTime :2015-01-02 05:27:13 || endTime :2015-01-02 06:27:13 || tweets/hour :0
startTime :2015-01-02 06:27:13 || endTime :2015-01-02 07:27:13 || tweets/hour :0
startTime :2015-01-02 07:27:13 || endTime :2015-01-02 08:27:13 || tweets/hour :0
startTime :2015-01-02 08:27:13 || endTime :2015-01-02 09:27:13 || tweets/hour :0
startTime :2015-01-02 09:27:13 || endTime :2015-01-02 10:27:13 || tweets/hour :0
startTime :2015-01-02 10:27:13 || endTime :2015-01-02 11:27:13 || tweets/hour :0
startTime :2015-01-02 11:27:13 || endTime :2015-01-02 12:27:13 || tweets/hour :0
startTime :2015-01-02 12:27:13 || endTime :2015-01-02 13:27:13 || tweets/hour :0
startTime :2015-01-02 13:27:13 || endTime :2015-01-02 14:27:13 || tweets/hour :0
startTime :2015-01-02 14:27:13 || endTime :2015-01-02 15:27:13 || tweets/hour :0
startTime :2015-01-02 15:27:13 || endTime :2015-01-02 16:27:13 || tweets/hour :0
startTime :2015-01-02 16:27:13 || endTime :2015-01-02 17:27:13 || tweets/hour :0
startTime :2015-01-02 17:27:13 || endTime :2015-01-02 18:27:13 || tweets/hour :0
startTime :2015-01-02 18:27:13 || endTime :2015-01-02 19:27:13 || tweets/hour :0
startTime :2015-01-02 19:27:13 || endTime :2015-01-02 20:27:13 || tweets/hour :0
startTime :2015-01-02 20:27:13 || endTime :2015-01-02 21:27:13 || tweets/hour :0
startTime :2015-01-02 21:27:13 || endTime :2015-01-02 22:27:13 || tweets/hour :0
startTime :2015-01-02 22:27:13 || endTime :2015-01-02 23:27:13 || tweets/hour :0
startTime :2015-01-02 23:27:13 || endTime :2015-01-03 00:27:13 || tweets/hour :0
startTime :2015-01-03 00:27:13 || endTime :2015-01-03 01:27:13 || tweets/hour :0
startTime :2015-01-03 01:27:13 || endTime :2015-01-03 02:27:13 || tweets/hour :0
startTime :2015-01-03 02:27:13 || endTime :2015-01-03 03:27:13 || tweets/hour :0
startTime :2015-01-03 03:27:13 || endTime :2015-01-03 04:27:13 || tweets/hour :0
startTime :2015-01-03 04:27:13 || endTime :2015-01-03 05:27:13 || tweets/hour :0
startTime :2015-01-03 05:27:13 || endTime :2015-01-03 06:27:13 || tweets/hour :0
startTime :2015-01-03 06:27:13 || endTime :2015-01-03 07:27:13 || tweets/hour :0
startTime :2015-01-03 07:27:13 || endTime :2015-01-03 08:27:13 || tweets/hour :0
startTime :2015-01-03 08:27:13 || endTime :2015-01-03 09:27:13 || tweets/hour :0
startTime :2015-01-03 09:27:13 || endTime :2015-01-03 10:27:13 || tweets/hour :0
startTime :2015-01-03 10:27:13 || endTime :2015-01-03 11:27:13 || tweets/hour :0
startTime :2015-01-03 11:27:13 || endTime :2015-01-03 12:27:13 || tweets/hour :0
startTime :2015-01-03 12:27:13 || endTime :2015-01-03 13:27:13 || tweets/hour :0
startTime :2015-01-03 13:27:13 || endTime :2015-01-03 14:27:13 || tweets/hour :0
