startTime :2014-12-31 21:14:35 || endTime :2014-12-31 22:14:35 || tweets/hour :0
startTime :2014-12-31 22:14:35 || endTime :2014-12-31 23:14:35 || tweets/hour :0
startTime :2014-12-31 23:14:35 || endTime :2015-01-01 00:14:35 || tweets/hour :0
startTime :2015-01-01 00:14:35 || endTime :2015-01-01 01:14:35 || tweets/hour :0
startTime :2015-01-01 01:14:35 || endTime :2015-01-01 02:14:35 || tweets/hour :1
startTime :2015-01-01 02:14:35 || endTime :2015-01-01 03:14:35 || tweets/hour :0
startTime :2015-01-01 03:14:35 || endTime :2015-01-01 04:14:35 || tweets/hour :0
startTime :2015-01-01 04:14:35 || endTime :2015-01-01 05:14:35 || tweets/hour :0
startTime :2015-01-01 05:14:35 || endTime :2015-01-01 06:14:35 || tweets/hour :0
startTime :2015-01-01 06:14:35 || endTime :2015-01-01 07:14:35 || tweets/hour :0
startTime :2015-01-01 07:14:35 || endTime :2015-01-01 08:14:35 || tweets/hour :0
startTime :2015-01-01 08:14:35 || endTime :2015-01-01 09:14:35 || tweets/hour :0
startTime :2015-01-01 09:14:35 || endTime :2015-01-01 10:14:35 || tweets/hour :0
startTime :2015-01-01 10:14:35 || endTime :2015-01-01 11:14:35 || tweets/hour :0
startTime :2015-01-01 11:14:35 || endTime :2015-01-01 12:14:35 || tweets/hour :0
startTime :2015-01-01 12:14:35 || endTime :2015-01-01 13:14:35 || tweets/hour :0
startTime :2015-01-01 13:14:35 || endTime :2015-01-01 14:14:35 || tweets/hour :0
startTime :2015-01-01 14:14:35 || endTime :2015-01-01 15:14:35 || tweets/hour :0
startTime :2015-01-01 15:14:35 || endTime :2015-01-01 16:14:35 || tweets/hour :0
startTime :2015-01-01 16:14:35 || endTime :2015-01-01 17:14:35 || tweets/hour :0
startTime :2015-01-01 17:14:35 || endTime :2015-01-01 18:14:35 || tweets/hour :0
startTime :2015-01-01 18:14:35 || endTime :2015-01-01 19:14:35 || tweets/hour :2
startTime :2015-01-01 19:14:35 || endTime :2015-01-01 20:14:35 || tweets/hour :0
startTime :2015-01-01 20:14:35 || endTime :2015-01-01 21:14:35 || tweets/hour :0
startTime :2015-01-01 21:14:35 || endTime :2015-01-01 22:14:35 || tweets/hour :0
startTime :2015-01-01 22:14:35 || endTime :2015-01-01 23:14:35 || tweets/hour :0
startTime :2015-01-01 23:14:35 || endTime :2015-01-02 00:14:35 || tweets/hour :0
startTime :2015-01-02 00:14:35 || endTime :2015-01-02 01:14:35 || tweets/hour :1
startTime :2015-01-02 01:14:35 || endTime :2015-01-02 02:14:35 || tweets/hour :0
startTime :2015-01-02 02:14:35 || endTime :2015-01-02 03:14:35 || tweets/hour :0
startTime :2015-01-02 03:14:35 || endTime :2015-01-02 04:14:35 || tweets/hour :0
startTime :2015-01-02 04:14:35 || endTime :2015-01-02 05:14:35 || tweets/hour :0
startTime :2015-01-02 05:14:35 || endTime :2015-01-02 06:14:35 || tweets/hour :0
startTime :2015-01-02 06:14:35 || endTime :2015-01-02 07:14:35 || tweets/hour :0
startTime :2015-01-02 07:14:35 || endTime :2015-01-02 08:14:35 || tweets/hour :0
