startTime :2014-12-31 21:21:19 || endTime :2014-12-31 22:21:19 || tweets/hour :0
startTime :2014-12-31 22:21:19 || endTime :2014-12-31 23:21:19 || tweets/hour :0
startTime :2014-12-31 23:21:19 || endTime :2015-01-01 00:21:19 || tweets/hour :0
startTime :2015-01-01 00:21:19 || endTime :2015-01-01 01:21:19 || tweets/hour :0
startTime :2015-01-01 01:21:19 || endTime :2015-01-01 02:21:19 || tweets/hour :0
startTime :2015-01-01 02:21:19 || endTime :2015-01-01 03:21:19 || tweets/hour :0
startTime :2015-01-01 03:21:19 || endTime :2015-01-01 04:21:19 || tweets/hour :0
startTime :2015-01-01 04:21:19 || endTime :2015-01-01 05:21:19 || tweets/hour :0
startTime :2015-01-01 05:21:19 || endTime :2015-01-01 06:21:19 || tweets/hour :0
startTime :2015-01-01 06:21:19 || endTime :2015-01-01 07:21:19 || tweets/hour :0
startTime :2015-01-01 07:21:19 || endTime :2015-01-01 08:21:19 || tweets/hour :0
startTime :2015-01-01 08:21:19 || endTime :2015-01-01 09:21:19 || tweets/hour :0
startTime :2015-01-01 09:21:19 || endTime :2015-01-01 10:21:19 || tweets/hour :0
startTime :2015-01-01 10:21:19 || endTime :2015-01-01 11:21:19 || tweets/hour :0
startTime :2015-01-01 11:21:19 || endTime :2015-01-01 12:21:19 || tweets/hour :0
startTime :2015-01-01 12:21:19 || endTime :2015-01-01 13:21:19 || tweets/hour :0
startTime :2015-01-01 13:21:19 || endTime :2015-01-01 14:21:19 || tweets/hour :0
startTime :2015-01-01 14:21:19 || endTime :2015-01-01 15:21:19 || tweets/hour :0
startTime :2015-01-01 15:21:19 || endTime :2015-01-01 16:21:19 || tweets/hour :0
startTime :2015-01-01 16:21:19 || endTime :2015-01-01 17:21:19 || tweets/hour :1
startTime :2015-01-01 17:21:19 || endTime :2015-01-01 18:21:19 || tweets/hour :0
startTime :2015-01-01 18:21:19 || endTime :2015-01-01 19:21:19 || tweets/hour :0
startTime :2015-01-01 19:21:19 || endTime :2015-01-01 20:21:19 || tweets/hour :0
startTime :2015-01-01 20:21:19 || endTime :2015-01-01 21:21:19 || tweets/hour :0
startTime :2015-01-01 21:21:19 || endTime :2015-01-01 22:21:19 || tweets/hour :0
startTime :2015-01-01 22:21:19 || endTime :2015-01-01 23:21:19 || tweets/hour :0
startTime :2015-01-01 23:21:19 || endTime :2015-01-02 00:21:19 || tweets/hour :0
startTime :2015-01-02 00:21:19 || endTime :2015-01-02 01:21:19 || tweets/hour :0
startTime :2015-01-02 01:21:19 || endTime :2015-01-02 02:21:19 || tweets/hour :0
startTime :2015-01-02 02:21:19 || endTime :2015-01-02 03:21:19 || tweets/hour :1
startTime :2015-01-02 03:21:19 || endTime :2015-01-02 04:21:19 || tweets/hour :0
startTime :2015-01-02 04:21:19 || endTime :2015-01-02 05:21:19 || tweets/hour :1
startTime :2015-01-02 05:21:19 || endTime :2015-01-02 06:21:19 || tweets/hour :0
startTime :2015-01-02 06:21:19 || endTime :2015-01-02 07:21:19 || tweets/hour :0
startTime :2015-01-02 07:21:19 || endTime :2015-01-02 08:21:19 || tweets/hour :0
startTime :2015-01-02 08:21:19 || endTime :2015-01-02 09:21:19 || tweets/hour :0
startTime :2015-01-02 09:21:19 || endTime :2015-01-02 10:21:19 || tweets/hour :0
startTime :2015-01-02 10:21:19 || endTime :2015-01-02 11:21:19 || tweets/hour :0
startTime :2015-01-02 11:21:19 || endTime :2015-01-02 12:21:19 || tweets/hour :0
startTime :2015-01-02 12:21:19 || endTime :2015-01-02 13:21:19 || tweets/hour :0
startTime :2015-01-02 13:21:19 || endTime :2015-01-02 14:21:19 || tweets/hour :0
startTime :2015-01-02 14:21:19 || endTime :2015-01-02 15:21:19 || tweets/hour :0
startTime :2015-01-02 15:21:19 || endTime :2015-01-02 16:21:19 || tweets/hour :0
startTime :2015-01-02 16:21:19 || endTime :2015-01-02 17:21:19 || tweets/hour :0
startTime :2015-01-02 17:21:19 || endTime :2015-01-02 18:21:19 || tweets/hour :0
startTime :2015-01-02 18:21:19 || endTime :2015-01-02 19:21:19 || tweets/hour :0
startTime :2015-01-02 19:21:19 || endTime :2015-01-02 20:21:19 || tweets/hour :0
startTime :2015-01-02 20:21:19 || endTime :2015-01-02 21:21:19 || tweets/hour :0
startTime :2015-01-02 21:21:19 || endTime :2015-01-02 22:21:19 || tweets/hour :0
startTime :2015-01-02 22:21:19 || endTime :2015-01-02 23:21:19 || tweets/hour :0
startTime :2015-01-02 23:21:19 || endTime :2015-01-03 00:21:19 || tweets/hour :0
startTime :2015-01-03 00:21:19 || endTime :2015-01-03 01:21:19 || tweets/hour :0
startTime :2015-01-03 01:21:19 || endTime :2015-01-03 02:21:19 || tweets/hour :0
startTime :2015-01-03 02:21:19 || endTime :2015-01-03 03:21:19 || tweets/hour :0
startTime :2015-01-03 03:21:19 || endTime :2015-01-03 04:21:19 || tweets/hour :0
startTime :2015-01-03 04:21:19 || endTime :2015-01-03 05:21:19 || tweets/hour :0
startTime :2015-01-03 05:21:19 || endTime :2015-01-03 06:21:19 || tweets/hour :0
startTime :2015-01-03 06:21:19 || endTime :2015-01-03 07:21:19 || tweets/hour :0
startTime :2015-01-03 07:21:19 || endTime :2015-01-03 08:21:19 || tweets/hour :0
startTime :2015-01-03 08:21:19 || endTime :2015-01-03 09:21:19 || tweets/hour :0
startTime :2015-01-03 09:21:19 || endTime :2015-01-03 10:21:19 || tweets/hour :0
startTime :2015-01-03 10:21:19 || endTime :2015-01-03 11:21:19 || tweets/hour :0
startTime :2015-01-03 11:21:19 || endTime :2015-01-03 12:21:19 || tweets/hour :0
startTime :2015-01-03 12:21:19 || endTime :2015-01-03 13:21:19 || tweets/hour :0
startTime :2015-01-03 13:21:19 || endTime :2015-01-03 14:21:19 || tweets/hour :0
startTime :2015-01-03 14:21:19 || endTime :2015-01-03 15:21:19 || tweets/hour :0
startTime :2015-01-03 15:21:19 || endTime :2015-01-03 16:21:19 || tweets/hour :1
startTime :2015-01-03 16:21:19 || endTime :2015-01-03 17:21:19 || tweets/hour :1
startTime :2015-01-03 17:21:19 || endTime :2015-01-03 18:21:19 || tweets/hour :1
startTime :2015-01-03 18:21:19 || endTime :2015-01-03 19:21:19 || tweets/hour :0
startTime :2015-01-03 19:21:19 || endTime :2015-01-03 20:21:19 || tweets/hour :0
startTime :2015-01-03 20:21:19 || endTime :2015-01-03 21:21:19 || tweets/hour :0
startTime :2015-01-03 21:21:19 || endTime :2015-01-03 22:21:19 || tweets/hour :0
startTime :2015-01-03 22:21:19 || endTime :2015-01-03 23:21:19 || tweets/hour :0
startTime :2015-01-03 23:21:19 || endTime :2015-01-04 00:21:19 || tweets/hour :0
startTime :2015-01-04 00:21:19 || endTime :2015-01-04 01:21:19 || tweets/hour :0
startTime :2015-01-04 01:21:19 || endTime :2015-01-04 02:21:19 || tweets/hour :0
startTime :2015-01-04 02:21:19 || endTime :2015-01-04 03:21:19 || tweets/hour :0
startTime :2015-01-04 03:21:19 || endTime :2015-01-04 04:21:19 || tweets/hour :1
startTime :2015-01-04 04:21:19 || endTime :2015-01-04 05:21:19 || tweets/hour :0
startTime :2015-01-04 05:21:19 || endTime :2015-01-04 06:21:19 || tweets/hour :0
